7zip 26.02-1
python-brotlicffi 1.2.0.1-4
python-cairo 1.29.1-1
python-fastimport 0.9.16-2
python-gevent 26.8.0-1
python-gpgme 2.0.0-2
python-greenlet 3.5.1-1
python-h2 4.4.1-1
python-httpx 0.28.1-7
python-inflect 7.5.0-2
python-jq 1.11.0-1
python-keyring 25.7.0-3
python-linkify-it-py 2.1.0-1
python-lxml 6.1.1-1
python-mdit_py_plugins 0.6.1-1
python-paramiko 5.0.0-1
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-pluggy 1.6.0-3
python-pybluez 0.23.r58.g4d46ce1-5
python-pycups 2.0.4-4
python-pygments 2.20.0-1
python-pyinotify 0.9.6-16
python-pynvim 0.6.0-2
python-pyopenssl 26.4.0-1
python-pyserial 3.5-8
python-pysmbc 1.0.25.1-5
python-pysocks 1.7.1-12
python-pytest 1:9.0.3-1
python-pyxdg 0.28-7
python-rich 15.0.0-1
python-setuptools 1:84.0.0-1
python-socksio 1.0.0-8
python-toml 0.10.2-13
python-trio 0.33.0-1
python-twisted 26.4.0-1
python-uvloop 0.22.1-2
python-zstandard 0.25.0-3
r 4.6.1-1
ranger 1.9.4-5
redshift 1.12-15
reflector 2023-5
rhino 1.7.15-1
ripgrep 15.2.0-1
ristretto 0.14.0-1
rofi 2.0.0-1
rsync 3.5.0-1
ruby 3.4.10-1
ruby-stdlib 3.4.10-1
rust 1:1.97.1-1
sane 1.4.0-4
sdparm 1.12-1
sg3_utils 1.49-1
smartmontools 7.5-1
starship 1.26.0-1
strace 7.0-1
sudo 1.9.17.p2-6
surfraw 2.3.0-4
system-config-printer 1.5.18-6
tela-circle-icon-theme-all 2026_07_07-1
terminus-font 4.49.1-8
testdisk 7.2-4
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-shares-plugin 1:0.5.0-1
thunar-vcs-plugin 0.4.0-1
thunar-volman 4.20.0-2
thunderbird 153.0.2-2
timeshift 25.12.4-1
tk 8.6.16-1
tlp 1.10.2-1
transmission-cli 4.1.3-2
trash-cli 0.24.5.26-3
ttf-0xproto-nerd 3.5.0-1
ttf-3270-nerd 3.5.0-1
ttf-adwaitamono-nerd 3.5.0-1
ttf-agave-nerd 3.5.0-1
ttf-anonymouspro-nerd 3.5.0-1
ttf-arimo-nerd 3.5.0-1
ttf-bigblueterminal-nerd 3.5.0-1
ttf-bitstream-vera-mono-nerd 3.5.0-1
ttf-cascadia-code-nerd 3.5.0-1
